Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4621,2195,57200,2195,1180,710,125,95,25,25,10,20,410,1760,25,2195,780,1410
4847,2505,47600,2505,540,955,350,225,175,80,90,100,555,1955,0,2505,630,1880
10282,3820,86000,3820,205,350,240,705,360,730,735,490,3240,535,45,3820,3250,570
5014,1920,88000,1920,50,255,90,290,395,345,290,205,1580,340,0,1920,1575,340
2281,910,83000,910,75,55,160,340,75,50,10,150,615,285,10,910,705,205
3540,1085,126000,1085,0,15,110,765,140,45,0,0,1075,5,5,1085,945,140
7578,1985,111000,1985,10,0,0,0,0,0,135,1830,1980,10,0,1985,1480,510
6552,2420,119000,2420,15,35,420,1305,495,100,25,20,2265,155,0,2420,2110,310
1473,420,140000,420,70,90,140,35,60,15,0,0,400,5,15,420,415,0
8327,2440,124000,2440,10,35,305,540,135,345,850,220,2350,85,5,2440,2135,310
6102,2375,81000,2375,110,380,470,955,140,95,50,175,2145,230,0,2375,1675,705
9034,4815,67500,4815,50,600,365,80,75,1015,545,2090,105,4710,0,4815,2470,2345
3352,1045,105000,1045,275,460,110,90,25,20,30,35,1025,20,0,1045,855,185
3773,1430,75500,1430,225,950,150,55,10,20,15,0,1180,210,40,1430,925,505
4838,2720,76500,2720,15,115,1015,705,70,280,25,495,245,2435,40,2720,2020,695
10506,6125,58400,6125,130,400,1010,780,330,1295,1395,775,0,6150,0,6125,1850,4275
3229,940,139000,940,0,10,0,525,130,105,125,45,935,0,5,940,910,30
6525,2965,52000,2965,175,690,1325,440,175,120,20,15,120,2775,70,2965,1350,1605
4796,1785,83000,1785,40,1360,250,75,10,30,15,0,1705,20,60,1785,1380,405
2562,905,118000,905,385,435,35,0,0,0,15,25,870,40,0,905,805,90
6266,2700,50800,2700,260,1700,275,170,30,65,155,40,740,1985,0,2700,1075,1620
4973,1775,94000,1775,0,0,0,50,320,905,305,195,1390,375,10,1775,1270,505
4188,2045,50400,2045,970,615,215,145,20,35,15,20,970,1105,0,2045,935,1105
3925,1195,142000,1195,665,120,80,115,40,65,50,65,840,365,0,1195,865,330
4717,1840,82000,1840,65,110,245,410,365,385,145,120,1145,690,5,1840,1520,325
3941,1615,108000,1615,195,1025,160,90,85,0,15,40,1465,135,15,1615,1355,265
2996,1045,101000,1045,310,280,140,135,15,30,60,80,1015,40,0,1045,895,145
8618,4080,60000,4080,980,1025,315,255,85,360,485,565,1290,2810,0,4080,1265,2820
2121,870,71500,870,355,450,40,0,0,0,0,15,810,80,0,870,325,550
1438,445,78000,445,65,135,0,15,15,85,75,45,430,20,0,445,375,70
3041,1070,114000,1070,20,150,515,140,90,100,35,15,1050,0,20,1070,1065,10
10,,,,,,,,,,,,0,0,0,,,
7286,2895,76500,2895,275,785,570,485,140,210,225,215,2335,55,505,2895,2675,220
5545,2190,87000,2190,360,1045,295,400,30,35,30,0,1350,870,0,2190,1780,415
2995,1265,87000,1265,35,105,880,220,10,10,0,10,730,545,0,1265,870,400
5802,2050,73000,2050,220,1390,170,165,30,0,20,50,850,1210,0,2050,1205,845
4182,1680,71500,1680,60,625,345,440,155,45,0,0,1010,715,0,1680,1050,625
7267,4530,61200,4530,525,1730,390,415,90,435,160,780,40,4225,265,4530,470,4060
6069,2995,60400,2995,0,20,55,425,850,680,765,195,685,2350,0,2995,2105,895
5555,1675,103000,1675,25,20,220,105,355,275,155,530,1615,60,0,1675,1425,250
1070,670,47200,670,290,105,125,35,25,30,50,0,20,670,0,670,120,545
5694,3000,54400,3000,1250,635,180,105,70,255,175,330,280,2740,0,3000,1040,1965
2901,1175,73000,1175,780,155,55,35,15,10,10,105,460,765,0,1175,550,620
3844,1445,109000,1445,305,975,55,65,0,15,20,0,1340,80,25,1445,1370,75
6756,2090,121000,2090,25,110,1375,525,45,10,0,0,2020,80,0,2090,1880,215
7310,2925,88000,2925,430,1160,300,335,115,160,165,250,2735,175,15,2925,2535,390
4944,1290,105000,1290,0,20,40,440,645,85,45,0,1230,55,5,1290,1115,180
5000,1925,60400,1925,290,1250,175,145,45,0,20,0,385,1550,0,1925,740,1190
1921,755,99000,755,10,45,285,380,20,15,0,0,745,0,10,755,710,45
4757,2060,73000,2060,60,425,490,175,100,245,295,275,1195,855,10,2060,1145,915
1522,535,133000,535,280,145,10,25,15,15,10,25,485,35,15,535,495,35
119,40,,40,0,10,15,15,0,0,10,10,40,0,0,40,20,0
3247,1000,147000,1000,0,15,45,740,165,20,15,10,990,15,0,1000,980,20
2335,1415,49200,1415,330,435,95,125,55,35,30,305,25,1420,0,1415,265,1155
8799,3065,109000,3065,540,775,355,330,160,215,245,455,2835,80,150,3065,2835,230
5727,2135,97000,2135,510,460,195,330,210,115,135,185,2030,95,10,2135,1940,200
310,105,72500,105,55,15,20,10,0,0,0,0,95,15,0,105,85,15
2584,1140,62800,1140,655,420,25,20,10,0,0,10,710,390,40,1140,690,450
4504,1475,113000,1475,20,15,240,695,330,90,60,20,1395,85,0,1475,1365,115
520,180,42400,180,0,0,0,0,10,30,120,0,0,170,10,180,0,180
3579,2015,43600,2015,735,620,200,105,45,60,145,100,370,1675,0,2015,365,1650
5155,1695,123000,1695,105,425,105,640,110,145,115,60,1695,10,0,1695,1630,60
7333,3150,68500,3150,180,340,240,820,435,235,460,435,995,2145,10,3150,1995,1155
3643,2045,53600,2045,585,815,355,105,50,30,40,55,295,1760,0,2045,580,1465
5300,1890,64500,1890,100,835,505,260,75,15,0,95,755,1125,10,1890,985,905
4139,1315,52800,1315,245,665,175,135,25,35,30,10,375,955,0,1315,25,1290
3446,1580,54000,1580,580,580,155,100,35,30,70,25,715,865,0,1580,620,955
7044,1890,119000,1890,0,0,0,50,240,1385,195,15,1850,20,20,1890,1710,175
3464,1350,87000,1350,60,1215,30,35,10,0,0,0,1110,210,30,1350,1080,265
2433,1030,76000,1030,20,415,150,225,90,55,35,35,650,385,0,1030,755,275
6273,3075,72500,3075,750,605,610,315,160,100,125,410,1030,2050,0,3075,1190,1890
5607,2140,85000,2140,610,570,325,210,100,95,100,135,1930,65,145,2140,1920,220
7509,2740,77500,2740,15,170,1005,795,70,45,225,425,1120,1620,0,2740,1990,750
4220,1955,49200,1955,755,660,180,150,70,95,30,10,745,1210,0,1955,825,1130
8648,4230,86000,4230,1160,900,385,245,110,270,1005,160,1145,3090,0,4230,3105,1125
2277,895,77500,895,400,370,25,35,0,20,10,30,905,0,0,895,735,155
5902,2275,91000,2275,215,1485,355,45,115,15,35,10,1555,680,40,2275,1900,370
1646,555,94000,555,25,325,70,40,30,45,15,10,340,225,0,555,275,120
4381,1430,125000,1430,195,205,95,215,585,80,20,25,1385,60,0,1430,1350,80
2908,1195,81000,1195,10,65,285,575,100,55,100,10,970,245,0,1195,1020,175
3092,1185,99000,1185,95,255,145,180,110,160,155,95,1050,110,25,1185,1100,90
6658,2040,100000,2040,0,20,20,55,430,1060,350,110,1715,335,0,2040,1495,545
4110,1620,70500,1620,280,410,500,350,25,20,15,20,1350,280,0,1620,1065,555
3734,1395,92000,1395,360,340,145,215,110,65,45,120,1250,145,0,1395,1140,255
7492,3040,81000,3040,40,30,15,400,1190,495,410,460,2910,110,20,3040,2840,205
5809,1720,114000,1720,25,70,55,85,390,650,270,180,1190,520,10,1720,1295,430
6770,2780,75500,2780,145,1415,535,385,95,85,90,25,1760,1000,20,2780,1660,1120
5030,1665,168000,1665,30,255,160,525,170,145,95,285,1620,0,45,1665,1585,80
5229,1785,103000,1785,20,100,1225,200,90,55,80,10,1365,415,5,1785,1570,210
4773,1925,78500,1925,550,560,165,200,65,100,125,160,1730,180,15,1925,1610,310
6208,2135,76000,2135,10,195,25,235,540,515,385,230,1545,575,15,2135,1600,535
1708,715,61600,715,130,210,115,90,30,25,55,50,530,185,0,715,485,225
2335,1055,81000,1055,375,545,50,45,0,15,15,10,775,225,55,1055,705,345
8422,3330,92000,3330,640,1295,185,135,165,150,155,605,1300,2025,5,3330,2190,1140
4166,1405,125000,1405,200,600,385,55,15,15,50,75,1125,270,10,1405,1220,185
4811,1980,69000,1980,750,795,235,75,50,45,10,15,1660,325,0,1980,1460,515
6465,2465,101000,2465,35,140,380,595,145,140,320,715,2205,315,0,2465,2030,430
877,370,58800,370,105,150,35,30,15,10,15,15,345,10,15,370,320,50
3859,940,87000,940,0,0,15,10,45,350,210,315,815,175,0,940,690,245
2609,820,180000,820,285,185,65,65,25,75,50,60,815,20,0,820,775,45
2509,860,122000,860,0,30,450,375,0,0,0,0,860,0,0,860,820,40
1473,695,76500,695,10,150,55,220,105,85,30,45,635,70,0,695,640,55
5345,3115,43200,3115,140,805,450,145,205,180,390,800,75,3030,10,3115,715,2400
7721,2975,80000,2975,245,1470,735,355,40,50,40,35,1345,1600,30,2975,1725,1250
1764,790,55200,790,240,285,85,95,15,40,10,25,395,410,0,790,385,410
3866,1585,62000,1585,10,65,145,735,515,70,40,0,450,1180,0,1585,390,1190
3994,1725,69000,1725,525,455,105,130,110,195,125,80,1250,450,25,1725,1305,415
1697,645,81000,645,0,0,0,10,15,40,465,120,255,380,10,645,425,225
4590,1720,86000,1720,650,370,365,115,70,50,15,90,1330,405,0,1720,1290,435
5314,2275,52000,2275,185,1210,445,185,70,120,55,0,1065,1140,70,2275,495,1780
1901,585,46400,585,145,220,140,55,10,0,0,0,120,485,0,585,65,520
2433,1235,54800,1235,315,580,150,60,25,15,75,20,410,855,0,1235,405,830
3104,1205,114000,1205,230,305,390,205,15,45,0,15,925,335,0,1205,965,245
4182,1840,58400,1840,575,410,200,130,90,130,105,190,975,845,20,1840,980,855
5384,2165,75000,2165,830,645,120,205,40,35,120,160,1455,705,5,2165,1370,795
4371,1180,85000,1180,25,120,725,250,30,20,0,10,540,625,15,1180,875,305
4185,1745,80000,1745,35,75,300,935,150,65,105,75,1155,560,30,1745,1350,395
6482,2280,79000,2280,210,1805,105,75,15,15,25,20,1725,530,25,2280,1695,585
3353,1455,79500,1455,1115,245,45,35,0,0,0,15,520,945,0,1455,690,765
3825,1720,78500,1720,45,210,870,460,75,20,15,35,980,630,110,1720,970,750
1165,655,37200,655,345,130,95,45,0,10,0,20,5,635,15,655,95,555
3903,1630,83000,1630,400,750,210,125,55,60,10,30,1385,235,10,1630,1370,260
5791,2075,88000,2075,645,620,210,225,75,60,100,145,1045,1025,5,2075,1510,565
5581,2900,62400,2900,1060,940,350,260,160,95,20,15,1240,1665,0,2900,1365,1535
3800,1260,118000,1260,10,70,155,590,310,95,25,15,1115,150,0,1260,1100,160
4365,1070,108000,1070,0,15,0,50,665,260,55,25,1090,10,0,1070,930,140
4208,1520,106000,1520,10,405,900,190,15,0,0,0,1280,255,0,1520,1275,245
7094,2585,62800,2585,415,1385,380,225,45,50,40,45,1205,1380,0,2585,945,1640
5004,1750,68000,1750,50,1370,185,105,30,0,0,10,1370,440,0,1750,1070,680
3542,1360,103000,1360,15,1085,175,50,0,20,0,0,1320,25,15,1360,1225,130
2645,1505,40800,1505,575,465,120,155,55,45,15,70,60,1505,0,1505,275,1230
2700,1170,48400,1170,335,565,145,95,20,0,0,0,0,1150,20,1170,10,1165
4002,1445,100000,1445,60,410,730,160,35,15,15,25,1410,15,20,1445,1360,90
4161,1590,79500,1590,465,570,270,210,50,10,10,15,1315,295,0,1590,1405,185
6961,2665,97000,2665,175,1625,175,335,125,110,85,30,2365,305,0,2665,2140,530
5311,3240,47200,3240,230,900,895,370,255,80,100,420,485,2740,15,3240,1240,2000
7360,2790,90000,2790,375,545,390,270,45,220,465,480,1085,1700,5,2790,1840,945
26,,,,,,,,,,,,0,0,0,,,
3130,1600,47600,1600,495,680,105,100,25,15,55,130,350,1270,0,1600,570,1030
5718,2135,58800,2135,835,550,160,115,45,70,140,225,25,2035,75,2135,580,1555
2525,1265,50800,1265,410,180,180,280,90,85,30,10,560,740,0,1265,625,640
2649,1220,44000,1220,490,425,110,70,30,80,10,0,60,1165,0,1220,285,935
75,30,,30,10,0,0,0,0,0,0,0,35,0,0,30,15,15
10250,3905,91000,3905,135,865,385,140,90,850,535,900,3080,835,0,3905,3095,810
4821,2095,70000,2095,45,995,520,265,135,55,65,10,1675,205,215,2095,1535,560
5137,1525,134000,1525,10,0,0,0,20,445,565,490,1465,70,0,1525,1295,235
5314,1840,95000,1840,45,825,185,295,140,125,95,130,1800,40,0,1840,1525,310
11120,5135,47200,5135,1170,3160,340,295,75,40,10,50,0,5135,0,5135,105,5030
7012,2145,117000,2145,30,75,520,880,425,70,115,35,2070,75,0,2145,1965,185
4382,1685,76000,1685,20,1210,355,60,20,20,0,0,1525,140,20,1685,1140,540
9009,3040,101000,3040,430,605,385,435,265,295,345,280,2845,190,5,3040,2695,340
3015,1270,65000,1270,600,565,50,40,10,0,0,10,960,320,0,1270,700,575
111,40,,40,10,15,0,10,0,0,0,0,30,5,5,40,35,0
4794,2430,50000,2430,480,820,230,355,195,90,195,65,1025,1315,90,2430,965,1470
1334,645,75500,645,120,390,60,35,15,15,0,15,455,150,40,645,485,160
7508,3405,62000,3405,190,755,270,510,380,625,430,240,1815,1295,295,3405,2085,1320
2691,1040,62400,1040,900,125,10,0,0,0,0,0,835,215,0,1040,665,380
9299,2915,116000,2915,20,0,0,45,295,735,855,950,2885,10,20,2915,2690,225
6315,2100,87000,2100,180,365,565,350,170,115,145,215,1980,140,0,2100,1650,450
2622,1250,71500,1250,885,150,20,25,15,40,55,70,1040,215,0,1250,830,430
6836,2525,108000,2525,170,310,460,405,70,135,400,580,2250,255,20,2525,2180,345
3711,1530,54800,1530,540,605,175,140,40,0,0,20,945,565,20,1530,605,925
2692,865,112000,865,0,15,70,720,50,10,0,0,715,120,30,865,770,100
5421,1750,81000,1750,1030,550,65,40,30,0,10,20,1025,695,30,1750,1230,515
7176,3220,58400,3220,880,1060,350,305,90,205,165,165,1895,1285,40,3220,1835,1380
3970,1695,91000,1695,25,90,35,500,670,280,90,0,1225,420,50,1695,1240,455
6218,2165,77500,2165,405,575,310,280,190,95,145,175,715,1445,5,2165,1310,855
3869,1560,50400,1560,710,445,130,50,35,75,85,30,915,640,5,1560,730,830
5327,2285,55600,2285,260,1015,315,200,130,210,40,115,1045,1245,0,2285,1130,1155
2463,1170,75000,1170,130,750,150,115,0,0,0,10,485,680,5,1170,640,525
7466,3485,66500,3485,75,85,80,175,200,30,195,2640,750,2845,0,3485,1530,1955
3710,1305,97000,1305,310,890,60,25,20,0,0,0,1245,65,0,1305,1220,90
2433,840,103000,840,20,685,95,25,0,10,0,0,835,20,0,840,635,205
4873,2275,58000,2275,715,665,400,255,40,75,85,45,1585,650,40,2275,1335,940
7534,2900,97000,2900,0,120,140,160,415,970,755,335,1910,250,740,2900,2475,420
3056,900,113000,900,0,10,50,585,110,115,20,10,845,30,25,900,830,65
5947,1970,87000,1970,90,310,95,160,175,335,375,430,1690,270,10,1970,1585,390
1522,590,93000,590,20,40,35,70,50,155,90,130,435,15,140,590,560,35
3631,1730,60000,1730,1120,270,150,75,30,60,0,15,275,1455,0,1730,645,1085
1778,500,78500,500,30,80,55,175,60,80,10,0,305,210,0,500,260,240
2238,785,93000,785,240,290,90,55,35,20,20,25,755,20,10,785,710,75
2616,875,180000,875,0,20,35,125,345,130,45,175,795,85,0,875,660,215
486,205,59600,205,25,60,45,40,20,10,15,0,170,0,35,205,190,15
5164,2325,68000,2325,1420,405,210,85,35,25,45,115,730,1605,0,2325,1125,1200
4884,1820,76500,1820,125,575,555,105,40,225,115,75,1260,600,0,1820,1070,750
5179,2230,65500,2230,195,925,355,140,70,35,255,260,1285,935,10,2230,1345,885
3537,1675,49200,1675,515,785,270,60,10,10,10,20,130,1530,15,1675,480,1190
3531,2095,40400,2095,465,910,280,235,85,75,35,10,105,2030,0,2095,205,1890
3858,1265,110000,1265,30,80,360,525,175,45,30,15,1205,30,30,1265,1180,85
3653,1650,91000,1650,520,400,385,120,110,45,30,40,1380,240,30,1650,1325,325
3630,1665,61600,1665,530,705,95,205,55,25,10,40,1190,485,0,1665,1055,610
3369,1010,105000,1010,10,10,65,620,240,45,10,0,980,5,25,1010,875,135
3820,1475,62800,1475,730,420,105,80,10,30,15,85,1265,225,0,1475,1055,420
3761,1140,104000,1140,0,0,35,825,230,35,10,0,1140,5,0,1140,1030,115
3360,1465,71000,1465,185,295,305,365,70,70,135,45,1040,425,0,1465,1150,315
4767,1890,94000,1890,15,1775,70,20,0,0,10,0,1880,15,0,1890,1675,215
3266,1250,83000,1250,10,885,170,160,10,10,0,0,1195,40,15,1250,985,260
1104,610,66500,610,185,75,50,10,20,35,215,20,10,585,15,610,235,375
6309,2660,81000,2660,310,795,415,410,160,265,195,120,2150,385,125,2660,2300,360
14150,5775,74500,5775,330,125,50,230,375,785,1515,2365,3070,2725,0,5775,3370,2410
7078,2225,107000,2225,0,15,0,55,145,495,595,915,2035,190,0,2225,1905,325
2973,1115,118000,1115,715,230,105,15,0,0,10,30,1000,125,0,1115,1010,100
3202,1350,68000,1350,185,350,265,285,80,55,70,60,1300,30,20,1350,1270,85
3808,1145,104000,1145,25,60,210,425,70,85,45,225,885,255,5,1145,940,205
5310,2275,65500,2275,175,1090,550,40,25,15,30,345,1450,840,0,2275,1435,840
3713,1100,108000,1100,0,0,0,15,0,365,295,415,1090,5,5,1100,995,100
4750,2000,83000,2000,825,820,110,110,15,55,45,25,1800,150,50,2000,1725,280
4123,1595,62400,1595,515,700,100,65,55,75,50,30,1295,335,0,1595,920,675
4945,2165,59600,2165,110,1270,230,175,75,170,110,25,1100,1010,55,2165,1025,1135
3339,935,90000,935,15,95,555,225,20,15,10,10,840,125,0,935,835,105
2991,1130,55200,1130,475,540,40,35,15,0,10,10,945,150,35,1130,385,750
5569,1590,88000,1590,160,695,480,170,20,15,20,20,1100,485,5,1590,1010,580
36,,,,,,,,,,,,0,0,0,,,
5810,1905,80000,1905,245,590,360,140,10,25,50,480,1410,535,0,1905,1210,695
4035,1570,103000,1570,1345,130,10,20,15,0,15,30,1235,345,0,1570,1255,315
6300,2350,71000,2350,330,600,265,385,180,180,230,185,1995,230,125,2350,1965,385
6349,2730,53200,2730,1430,995,130,95,25,0,10,40,1615,1105,10,2730,1200,1530
6375,3740,72000,3740,145,635,300,440,440,615,410,755,80,3680,0,3740,2105,1635
4716,1435,104000,1435,0,85,400,160,260,345,180,10,1380,50,5,1435,1295,135
843,430,51600,430,110,170,10,50,85,0,0,0,135,280,15,430,155,275
5073,2065,72000,2065,0,30,80,345,450,920,155,85,885,1180,0,2065,1640,430
6029,2110,104000,2110,10,110,40,50,90,275,785,750,2005,80,25,2110,1675,435
3738,1635,65500,1635,330,370,175,320,165,110,50,115,1255,355,25,1635,1160,470
4135,1620,81000,1620,685,510,90,110,70,60,55,40,880,675,65,1620,1035,585
6482,2880,42000,2880,1125,910,285,310,105,55,40,45,1010,1870,0,2880,635,2245
5677,3395,40800,3395,385,1095,1020,410,205,175,80,25,595,2780,20,3395,1060,2330
0,,,,,,,,,,,,0,0,0,,,
4138,1500,86000,1500,295,450,165,265,55,80,95,85,995,505,0,1500,1070,430
1251,700,42400,700,105,205,90,60,55,15,155,25,0,685,15,700,190,515
3321,955,76500,955,750,90,15,75,15,0,0,10,25,940,0,955,405,545
3912,1505,90000,1505,545,320,100,145,130,35,85,140,1475,65,0,1505,1370,135
3896,1750,62800,1750,140,1115,255,75,25,10,50,80,955,800,0,1750,630,1120
972,435,66000,435,120,140,70,35,20,20,15,20,315,120,0,435,285,150
811,385,35200,385,230,70,20,20,0,10,10,20,190,195,0,385,150,235
3881,1835,62000,1835,840,400,145,190,90,130,20,20,1060,795,0,1835,1105,730
7045,3600,49600,3600,95,95,50,405,210,625,240,1885,440,3170,0,3600,1900,1705
6108,2000,112000,2000,20,105,870,695,185,30,65,35,1740,255,5,2000,1625,370
6505,2450,82000,2450,200,460,530,660,335,110,55,105,2265,155,30,2450,2085,365
2143,1305,49200,1305,515,220,150,175,35,100,30,75,35,1245,25,1305,365,935
6781,2425,100000,2425,60,1185,660,250,135,80,35,30,1890,530,5,2425,2100,325
4936,2420,50400,2420,530,1435,295,70,15,10,10,70,185,2260,0,2420,595,1820
10,,,,,,,,,,,,0,0,0,,,
3104,1190,84000,1190,70,910,175,25,0,10,10,0,635,550,5,1190,1005,190
1795,755,71500,755,200,410,65,55,10,0,0,10,510,225,20,755,475,280
8769,3265,102000,3265,205,270,735,230,450,345,235,790,2710,555,0,3265,2595,670
2013,1170,47200,1170,800,230,30,40,20,10,20,15,10,1130,30,1170,225,945
1959,730,101000,730,40,405,150,75,10,20,10,20,655,60,15,730,680,45
4104,1785,71500,1785,20,415,60,235,255,420,330,50,1245,535,5,1785,1410,380
6620,2240,93000,2240,10,245,1665,270,35,15,10,0,1895,305,40,2240,1965,275
2110,1235,63600,1235,645,165,50,55,45,235,40,10,25,1180,30,1235,525,705
4060,1535,96000,1535,10,45,485,915,50,25,0,0,1375,140,20,1535,1425,110
4263,1775,61200,1775,55,340,760,365,135,40,35,45,435,1350,0,1775,935,835
2199,990,86000,990,885,60,25,10,0,0,0,0,785,200,5,990,790,200
4641,1965,81000,1965,440,565,250,185,70,165,215,70,1585,400,0,1965,1340,620
2222,1210,36000,1210,855,175,55,40,25,40,0,10,80,1120,10,1210,175,1040
6024,2590,102000,2590,1275,765,135,55,50,55,100,150,1515,1110,0,2590,1760,830
5920,2310,66000,2310,230,1305,420,285,45,25,0,0,1650,660,0,2310,1285,1025
0,,,,,,,,,,,,0,0,0,,,
6034,2150,85000,2150,185,1525,140,100,60,75,60,0,1575,570,5,2150,1675,470
5281,2165,72500,2165,680,1295,60,50,0,10,50,35,1765,450,0,2165,1730,435
3089,1440,63600,1440,370,790,170,40,15,25,25,0,890,535,15,1440,925,510
9134,4585,58400,4585,65,810,540,905,190,740,650,695,2015,905,1665,4585,3620,865
3684,2175,40800,2175,335,575,390,215,85,95,85,400,30,2015,130,2175,410,1765
6055,2870,80000,2870,20,130,590,605,65,655,320,490,580,2250,40,2870,2160,710
55,25,,25,0,0,0,10,0,0,0,0,20,0,5,25,0,0
3662,1025,119000,1025,0,10,55,680,185,15,25,55,1015,10,0,1025,970,55
7282,3890,55200,3890,20,90,530,645,545,1000,650,410,325,3560,5,3890,2570,1320
945,320,100000,320,90,85,30,50,30,0,0,25,310,10,0,320,265,60
5392,2140,92000,2140,320,845,375,215,170,70,65,75,2040,10,90,2140,2045,90
5154,1620,98000,1620,40,340,905,215,55,15,35,10,1590,30,0,1620,1355,270
71,30,,30,10,0,0,10,0,0,0,10,30,0,0,30,10,0
2624,810,107000,810,15,160,525,80,15,0,0,0,715,80,15,810,745,65
3349,1645,54800,1645,295,520,540,100,10,15,20,140,425,1225,0,1645,560,1080
3400,1155,94000,1155,0,40,895,160,35,20,10,0,1110,35,10,1155,1095,65
5044,1440,108000,1440,15,75,100,1075,135,35,0,0,1230,205,5,1440,1175,260
6768,2705,83000,2705,60,1000,205,285,210,430,295,215,1855,230,620,2705,2425,285
2390,985,80000,985,420,220,145,45,30,25,50,50,905,75,5,985,815,175
5816,2005,108000,2005,315,210,270,455,165,100,260,230,1800,195,10,2005,1780,220
5084,1955,79000,1955,215,385,275,420,195,170,175,110,1605,120,230,1955,1835,120
5579,2120,85000,2120,210,570,200,250,125,380,260,130,1725,360,35,2120,1720,400
2536,865,109000,865,25,285,195,60,40,40,170,50,850,15,0,865,825,35
4898,1910,62000,1910,215,1330,195,150,20,0,0,0,245,1670,0,1910,700,1210
4207,1650,62400,1650,165,835,335,145,115,30,15,10,435,1020,195,1650,635,1010
2699,1450,48000,1450,570,415,200,45,20,125,50,25,515,875,60,1450,415,1030
5820,2140,63200,2140,35,690,235,260,610,270,15,20,925,1210,5,2140,1780,365
2773,1135,96000,1135,960,110,25,20,0,10,0,10,595,530,10,1135,710,425
3623,1190,104000,1190,0,0,0,0,15,20,525,630,995,215,0,1190,1050,145
2542,760,109000,760,10,15,95,545,20,10,0,75,770,15,0,760,695,65
6327,2070,129000,2070,95,105,30,530,820,345,130,15,2025,45,0,2070,1920,150
3677,1160,107000,1160,25,80,240,700,95,15,10,0,1120,55,0,1160,1070,90
5836,1920,120000,1920,95,1205,315,150,55,50,35,20,1865,50,5,1920,1670,250
6304,2260,76500,2260,435,1290,235,110,35,0,30,125,2015,275,0,2260,1680,580
3659,1440,69000,1440,215,815,95,120,150,15,15,15,1060,415,0,1440,1135,305
6579,2425,71500,2425,335,1665,215,80,85,35,10,0,1610,800,15,2425,1675,745
